Country,Ethnicity,years,notes
Iran,"Persian 51%, Azerbaijani 24%, Gilaki and Mazandarani 8%, Kurd 7%, Arab 3%, Lur 2%, Baloch 2%, Turkmen 2%, other 1%",,
Iraq,"Arab 75% - 80%, Kurdish 15% - 20%, Turkoman; Assyrian or other 5%",,
Ireland,"Celtic, English",,
Israel,"Europe/Americas/Oceania-born 32.1%, Israel-born 20.8%, Africa-born 14.6%, Asia-born 12.6%, non-Jewish (mostly Arab) 19.9%",  (1996 est.),Jewish 80.1%
Italy,"Italian (includes small clusters of German-; French-; and Slovene-Italians in the north, Albanian- and Greek-Italians in the south)",,
Jamaica,"black 90.9%, East Indian 1.3%, white 0.2%, Chinese 0.2%, mixed 7.3%, other 0.1%",,
Japan,"Japanese 99%, Korean; Chinese; Brazillian; Filipino; other 1%", (2004),
Jordan,"Arab 98%, Circassian 1%, Armenian 1%",,
Kazakhstan,"Kazak (Qazaq) 53.4%, Russian 30%, Ukrainian 3.7%, Uzbek 2.5%, German 2.4%, Tatar 1.4%, Uygur 1.4%, other 4.9%", (1999),
Kenya,"Kikuyu 22%, Luhya 14%, Luo 13%, Kalenjin 12%, Kamba 11%, Kisii 6%, Meru 6%, other African 15%, Asian; European; Arab 1%",,
Kiribati,"Micronesian 98.8%, other 1.2%",,
"Korea, North",racially homogeneous,,"small Chinese community, a few ethnic Japanese "
"Korea, South","homogeneous (except for about 20,000 Chinese)",,
Kuwait,"Kuwaiti 45%, other Arab 35%, South Asian 9%, Iranian 4%, other 7%",,
Kyrgyzstan,"Kyrgyz 64.9%, Uzbek 13.8%, Russian 12.5%, Dungan 1.1%, Ukrainian 1%, Uygur 1%, other 5.7%", (1999),
Laos,"Lao Loum (lowland) 68%, Lao Theung (upland) 22%, Lao Soung (highland) including the Hmong (“Meo”) and the Yao (Mien) 9%, ethnic Vietnamese/Chinese 1%",,
Latvia,"Latvian 57.7%, Russian 29.6%, Belorussian 4.1%, Ukrainian 2.7%, Polish 2.5%, Lithuanian 1.4%, other 2%", (2002),
Lebanon,"Arab 95%, Armenian 4%, other 1%",,
Lesotho,"Sotho 99.7%, Europeans; Asians; and other 0.3%",,
Liberia,"indigenous African tribes (including Kpelle, Bassa, Gio, Kru, Grebo, Mano, Krahn, Gola, Gbandi, Loma, Kissi, Vai, Bella, Mandingo, and Mende) 95%, Americo-Liberians (descendants of former U.S. slaves) 2.5%, Congo People (descendants of former Caribbean slaves) 2.5% ",,
Libya,"Berber and Arab 97%, Greeks; Maltese; Italians; Egyptians; Pakistanis; Turks; Indians; Tunisians",,
Liechtenstein,"Alemannic 86%, Italian; Turkish; and other 14%",,
Lithuania,"Lithuanian 83.4%, Polish 6.7%, Russian 6.3%, other or unspecified 3.6%", (2001),
Luxembourg,"Celtic base (with French and German blend), Portuguese, Italian, Slavs (from Montenegro; Albania; and Kosovo), and European (guest and worker residents)",,
Macedonia,"Macedonian 64.2%, Albanian 25.2%, Turkish 3.8%, Roma (Gypsy) 2.7%, Serb 1.8%, other 2.2%", (2002),
Madagascar,"Malayo-Indonesian (Merina and related Betsileo), Côtiers (mixed African; Malayo-Indonesian; and Arab ancestry: Betsimisaraka; Tsimihety; Antaisaka; Sakalava), French, Indian, Creole, Comoran",,
Malawi,"Chewa, Nyanja, Tumbuko, Yao, Lomwe, Sena, Tonga, Ngoni, Ngonde, Asian, European",,
Malaysia,"Malay 50.4%, Chinese 23.7%, Indigenous 11%, Indian 7.1%, others 7.8%", (2004 est.),
Maldives,"South Indians, Sinhalese, Arabs",,
Mali,"Mande (Bambara; Malinke; Sarakole) 50%, Peul 17%, Voltaic 12%, Tuareg and Moor 10%, Songhai 6%, other 5%",,
Malta,Maltese (descendants of ancient Carthaginians and Phoenicians with strong elements of Italian and other Mediterranean stock),,
Marshall Islands,Micronesian,,
Mauritania,"mixed Maur/black 40%, Maur 30%, black 30%",,
Mauritius,"Indo-Mauritian 68%, Creole 27%, Sino-Mauritian 3%, Franco-Mauritian 2%",,
Mexico,"mestizo (Amerindian-Spanish) 60%, Amerindian or predominantly Amerindian 30%, white 9%, other 1%",,
Micronesia,nine ethnic Micronesian and Polynesian groups,,
Moldova,"Moldavian/Romanian 78.2%, Ukrainian 8.4%, Russian 5.8%, Gagauz 4.4%, Bulgarian 1.9%, other 1.3%", (2004),
Monaco,"French 47%, Monegasque 16%, Italian 16%, other 21%",,
Mongolia,"Mongol (predominantly Khalkha) 94.9%, Turkic (of which Kazak is the largest group) 5%, other (including Chinese and Russian) 0.1%", (2000),
Montenegro,"Montenegrin 43%, Serbian 32%, Bosniak 8%, Albanian 5%, other (Muslims; Croats; Roma) 12%",,
Morocco,"Arab-Berber 99.1%, Jewish 0.2%, other 0.7%",,
Mozambique,"indigenous tribal groups (Shangaan; Chokwe; Manyika; Sena; Makua; and others) 99.66%, Europeans 0.06%, Euro-Africans 0.2%, Indians 0.08%",,
Myanmar,"Burman 68%, Shan 9%, Karen 7%, Rakhine 4%, Chinese 3%, Mon 2%, Indian 2%, other 5%",,
Namibia,"black 87.5%, white 6%, mixed 6.5%",,"Note: about 50% of the population belong to the Ovambo tribe and 9% to the Kavangos tribe; other ethnic groups are Herero 7%, Damara 7%, Nama 5%, Caprivian 4%, Bushmen 3%, Baster 2%, Tswana 0.5%"
Nauru,"Nauruan 58%, other Pacific Islander 26%, Chinese 8%, European 8%",,
Nepal,"Brahman-Hill 12.5%, Chetri 15.5%, Magar 7%, Tharu 6.6%, Tamang 5.5%, Newar 5.4%, Muslim 4.2%, Kami 3.9%, Yadav 3.9%, other 32.7%, unspecified 2.8%", (2001),
Netherlands,"Dutch 83%, other (9% of non-Western origin, mainly Turks, Moroccans, Antilleans, Surinamese, and Indonesians) 17%", (1999 est.),
New Zealand,"European 69.8%, Maori 7.9%, Pacific Islander 4.4%, Asian 5.7%, other 0.5%, mixed 7.8%, unspecified 3.8%", (2001),
Nicaragua,"mestizo 69%, white 17%, black 9%, Amerindian 5%",,
Niger,"Hausa 56%, Djerma 22%, Fula 8.5%, Tuareg 8%, Beri Beri (Kanouri) 4.3%, Arab; Toubou; and Gourmantche 1.2%",,"about 1,200 French expatriates"
Nigeria,"Hausa and Fulani 29%, Yoruba 21%, Ibo 18%, Ijaw 10%, Kanuri 4%, Ibibio 3.5%, Tiv 2.5%",,More than 250 ethnic groups
Norway,Norwegian,,"Sami 20,000"
Oman,"Arab, Baluchi, South Asian (Indian; Pakistani; Sri Lankan; Bangladeshi), African",,
Pakistan,"Punjabi, Sindhi, Pashtun (Pathan), Baloch, Muhajir (immigrants from India and their descendants)",,
Palau,"Palauan (Micronesian with Malayan and Melanesian admixtures) 69.9%, Filipino 15.3%, Chinese 4.9%, other Asian 2.4%, white 1.9%, Carolinian 1.4%, other Micronesian 1.1%, other or unspecified 3.2%", (2000),
Palestinian State (proposed),"Palestinian Arab and other (West Bank) 83%, Jewish (West Bank) 17%, Palestinian Arab and other (Gaza Strip) 99.4%, Jewish (Gaza Strip) 0.6%",,
Panama,"mestizo 70%, Amerindian and mixed (West Indian) 14%, white 10%, Indian 6%",,
Papua New Guinea,"Melanesian, Papuan, Negrito, Micronesian, Polynesian",,
Paraguay,mestizo 95%,,
Peru,"Amerindian 45%, mestizo 37%, white 15%, black; Japanese; Chinese; and other 3%",,
Philippines,"Tagalog 28.1%, Cebuano 13.1%, Ilocano 9%, Bisaya/Binisaya 7.6%, Hiligaynon Ilonggo 7.5%, Bikol 6%, Waray 3.4%, other 25.3%", (2000),
Poland,"Polish 96.7%, German 0.4%, Belorussian 0.1% Ukrainian 0.1%, other 2.7%", (2002),
Portugal,"homogeneous Mediterranean stock; less than 100,000 citizens of black African descent who immigrated to mainland during decolonization; East Europeans have entered since 1990",,
Qatar,"Arab 40%, Pakistani 18%, Indian 18%, Iranian 10%, other 14%",,
Romania,"Romanian 89.5%, Hungarian 6.6%, Roma (Gyspy) 2.5%, Ukrainian 0.3%, German 0.3%, Russian 0.2%, Turkish 0.2%, other 0.4%", (2002),
Russia,"Russian 79.8%, Tatar 3.8%, Ukrainian 2%, Bashkir 1.2%, Chuvash 1.1%, other or unspecified 12.1%", (2002),
Rwanda,"Hutu 84%, Tutsi 15%, Twa (Pygmoid) 1%",,
St. Kitts and Nevis,predominantly black,,
St. Lucia,"black 90%, mixed 6%, East Indian 3%, white 1%",,
St. Vincent and the Grenadines,"black 66%, mixed 19%, East Indian 6%, Carib Amerindian 2%, other 7%",,
Samoa,"Samoan 92.6%, Euronesians (persons of European and Polynesian blood) 7%, Europeans 0.4%",,
San Marino,"Sammarinese, Italian",,
São Tomé and Príncipe,"mestico (mixed European and native African), angolares (descendants of Angolan slaves), forros (descendants of freed slaves), servicais (contract laborers from Angola; Mozambique; and Cape Verde), tongas (children of servicais born on the islands), Europeans (primarily Portuguese)",,
Saudi Arabia,"Arab 90%, Afro-Asian 10%",,
Senegal,"Wolof 43.3%, Fulani 23.8%, Serer 14.7%, Diola 3.7%, Mandingo 3%, Soninke 1.1%, European and Lebanese 1%, other 9.4%",,
Serbia,"Serb 66%, Albanian 17%, Hungarian 3.5%, other 13.5%", (1991),
Seychelles,mixed French; African; Indian; Chinese; and Arab ,,
Sierra Leone,"Temne 30%, Mende 30%, other 30%, Creole (Krio) 10%, refugees from Liberia's recent civil war; small numbers of Europeans; Lebanese; Pakistanis; and Indians",,20 native African tribes 90%
Singapore,"Chinese 76.8%, Malay 13.9%, Indian 7.9%, other 1.4%", (2000),
Slovakia,"Slovak 85.8%, Hungarian 9.7%, Roma 1.7%, Ruthenian/Ukrainian 1%, other and unspecified 1.8%", (2001),
Slovenia,"Slovene 93.1%, Croat 1.8%, Serb 2%, Bosniak 1.1%, other or unspecified 12%", (2001),
Solomon Islands,"Melanesian 94.5%, Polynesian 3%, Micronesian 1.2%, other 1.1%, unspecified 0.2%", (1999),
Somalia,"Somali 85%, Bantu and others (including Arabs 30,000) 15%",,
South Africa,"black African 79%, white 9.6%, colored 8.9%, Indian/Asian 2.5%", (2001),
Spain,composite of Mediterranean and Nordic types,,
Sri Lanka,"Sinhalese 73.8%, Sri Lankan Moors 7.2%, Indian Tamil 4.6%, Sri Lankan Tamil 3.9%, other 0.5%, unspecified 10%", (2001),
Sudan,"black 52%, Arab 39%, Beja 6%, foreigners 2%, other 1%",,
Suriname,"East Indians (Hindustanis) 37%, Creole (mixed white and black) 31%, Javanese 15%, “Bush Negroes” (also known as Maroons) 10%, Amerindian 2%, Chinese 2%, white 1%, other 2%",,
Swaziland,"African 97%, European 3%",,
Sweden,indigenous population: Swedes with Finnish and Sami minorities; foreign-born or first-generation immigrants: Finns; Yugoslavs; Danes; Norwegians; Greeks; Turks,,
Switzerland,"German 65%, French 18%, Italian 10%, Romansch 1%, other 6%",,
Syria,"Arab 90.3%, Kurds; Armenians; and other 9.7%",,
Taiwan,"Taiwanese (including Hakka) 84%, mainland Chinese 14%, aborigine 2%",,
Tajikistan,"Tajik 79%, Uzbek 15.3%, Russian 1.1%, Kyrgyz 1.1%, other 2.6%", (2000),
Tanzania,"mainland: native African (includes 95% Bantu consisting of well over 100 tribes) 99%, mainland: Asian; European; and Arab 1%, Zanzibar: Arab; native African; mixed",,
Thailand,"Thai 75%, Chinese 14%, other 11%",,
Togo,"native African (37 tribes; largest and most important are Ewe; Mina; and Kabre) 99%, European and Syrian-Lebanese less than 1%",,
Tonga,"Polynesian, European",,
Trinidad and Tobago,"Indian (South Asian) 40%, African 37.5%, mixed 20.5%, other 1.2%, unspecified 0.8%", (2000),
Tunisia,"Arab-Berber 98%, European 1%, Jewish and other 1%",,
Turkey,"Turkish 80%, Kurdish 20%",,
Turkmenistan,"Turkmen 85%, Uzbek 5%, Russian 4%, other 6%", (2003),
Tuvalu,"Polynesian 96%, Micronesian 4%",,
Uganda,"Baganda 17%, Ankole 8%, Basoga 8%, Iteso 8%, Bakiga 7%, Langi 6%, Rwanda 6%, Bagisu 5%, Acholi 4%, Lugbara 4%, Batoro 3%, Bunyoro 3%, Alur 2%, Bagwere 2%, Bakonjo 2%, Jopodhola 2%, Karamojong 2%, Rundi 2%, non-African (European; Asian; Arab) 1%, other 8%",,
Ukraine,"Ukrainian 77.8%, Russian 17.3%, Belorussian 0.6%, Moldovan 0.5%, Crimean Tatar 0.5%, Bulgarian 0.4%, Hungarian 0.3%, Romanian 0.3%, Polish 0.3%, Jewish 0.2%, other 1.8%", (2001),
United Arab Emirates,"Emiri 19%, other Arab and Iranian 23%, South Asian 50%, other expatriates (includes Westerners and East Asians) 8%", (1982),
United Kingdom,"English 83.6%, Scottish 8.6%, Welsh 4.9%, Northern Irish 2.9%, black 2%, Indian 1.8%, Pakistani 1.3%, mixed 1.2%, other 1.6%", (2001),
United States,"White 75.1%, Black 12.3%, Asian 3.6%, American Indian and Alaska Native 0.9%, Native Hawaiian and other Pacific Islander 0.1%, other race 5.5%, Hispanic origin 12.5%",,
Uruguay,"white 88%, mestizo 8%, black 4%",,
Uzbekistan,"Uzbek 80%, Russian 5.5%, Tajik 5%, Kazak 3%, Karakalpak 2.5%, Tatar 1.5%, other 2.5%", (1996 est.),
Vanuatu,"Ni-Vanuatu 98.5%, other 1.5%", (1999),
Vatican City (Holy See),"Italian, Swiss, other",,
Venezuela,"Spanish, Italian, Portuguese, Arab, German, African, indigenous people",,
Vietnam,"Kinh (Viet) 86.2%, Tay 1.9%, Thai 1.7%, Muong 1.5%, Khome 1.4%, Hoa 1.1%, Nun 1.1%, Hmong 1%, others 4.1%", (1999),
Western Sahara (proposed state),"Arab, Berber",,
Yemen,predominantly Arab; but also Afro-Arab; South Asians; Europeans,,
Zambia,"African 98.7%, European 1.1%, other 0.2%",,
Zimbabwe,"Shona 82%, Ndebele 14%, other 2%, mixed and Asian 1%, white less than 1%",,African 98%
