Macao,Asia & Pacific,Global North
Malta,Europe,Global North
Netherlands,Europe,Global North
Norway,Europe,Global North
New Zealand,Asia & Pacific,Global North
Poland,Europe,Global North
Saint Pierre and Miquelon,North America,Global North
Portugal,Europe,Global North
Romania,Europe,Global North
Russia,Europe,Global North
Sweden,Europe,Global North
Singapore,Asia & Pacific,Global North
Slovenia,Europe,Global North
Svalbard,Europe,Global North
Slovakia,Europe,Global North
San Marino,Europe,Global North
Turkey,Europe,Global North
Taiwan,Asia & Pacific,Global North
United States,North America,Global North
Holy See,Europe,Global North
Serbia,Europe,Global North
Montenegro,Europe,Global North
Aland Islands,Europe,Global North
Guernsey,Europe,Global North
Isle of Man,Europe,Global North
Jersey,Europe,Global North
